Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
31,1.0,0.0,0.0,531.0,11.0,41.0,1399.0,0.1,32.00799999999998,0.0,0.0,207.40935015678406,,,,,,,,,,,,,,,,,,,,,13.520894343146582,10.68450666230374,31.51664510549688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,610.0,12.0,79.0,1478.0,0.1,70.00800000000004,0.0,0.0,214.98687434196472,,,,,,,,,,,,,,,,,,,,,31.607050330604878,21.526646791205597,67.64626791344119,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,638.0,13.0,28.0,1506.0,0.1,20.00700000000001,0.0,0.0,217.84682440757751,,,,,,,,,,,,,,,,,,,,,8.165721110157886,6.961514292335569,19.817975942825285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,799.0,14.0,161.0,1667.0,0.1,153.00700000000003,0.0,0.0,232.19639325141907,,,,,,,,,,,,,,,,,,,,,70.48936095250416,42.98739755695452,141.94195485440082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,824.0,15.0,25.0,1692.0,0.1,18.006000000000007,0.0,0.0,234.79576969146729,,,,,,,,,,,,,,,,,,,,,7.5199351835839,6.287987477165447,17.85369114901729,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,883.0,16.0,59.0,1751.0,0.1,48.00999999999998,0.0,0.0,240.35605788230896,,,,,,,,,,,,,,,,,,,,,20.426420865381136,15.572768171101858,46.89859145325759,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,914.0,17.0,31.0,1782.0,0.1,20.010000000000012,0.0,0.0,243.73294830322266,,,,,,,,,,,,,,,,,,,,,7.378351522942878,7.042879654021025,19.820893068031765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,965.0,18.0,51.0,1833.0,0.1,42.00799999999998,0.0,0.0,248.56761479377747,,,,,,,,,,,,,,,,,,,,,18.2796460683757,13.628776407648084,41.15801291833659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1018.0,19.0,53.0,1886.0,0.1,44.00799999999998,0.0,0.0,253.51336550712585,,,,,,,,,,,,,,,,,,,,,19.23336511037992,14.207921313042965,43.07473805051284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1054.0,20.0,36.0,1922.0,0.1,28.00700000000001,0.0,0.0,257.1064989566803,,,,,,,,,,,,,,,,,,,,,11.949849762057692,9.406803309628266,27.632041860244563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
